"season","region","H3_shannon_entropy_res","h3_vs_h1","iva_vs_ivb","h3_vs_total_flu","h1_vs_total_flu","ivb_vs_iva","H3_cum_intensity","H1_cum_intensity","IVB_cum_intensity","H3_max_Rt","H3_max_intensity","H1_max_intensity","IVB_max_intensity","dom_type","prior_dom_type_national","H3_season_duration","peak_diff","peak_diff_median","H3_onset_index_week","H3_epi_size_prior","H1_epi_size_prior","IVB_epi_size_prior","H3_onset_week","H3_peak_week","year.new","HA_mean_lbi_lag1","HA_mean_lbi_lag2","HA_mean_lbi","NA_mean_lbi_lag1","NA_mean_lbi_lag2","NA_mean_lbi","usa_bhatt_ep_mean","usa_wolf_ep_mean","HA_koel_lag1","HA_stem_ep_lag1","HA_titer_tree_lag1","HA_wolf_lag1","HA_wolf_nonepitope_lag1","HA_std_lbi_lag1","NA_bhatt_ep_lag1","NA_bhatt_nonepitope_lag1","NA_krammer_ep_lag1","NA_std_lbi_lag1","ha_lbi_shannon_lag1","na_lbi_shannon_lag1","HA_koel_lag2","HA_stem_ep_lag2","HA_titer_tree_lag2","HA_wolf_lag2","HA_wolf_nonepitope_lag2","HA_std_lbi_lag2","NA_bhatt_ep_lag2","NA_bhatt_nonepitope_lag2","NA_krammer_ep_lag2","NA_std_lbi_lag2","ha_lbi_shannon_lag2","na_lbi_shannon_lag2","HA_std_lbi","NA_std_lbi","ha_lbi_shannon","na_lbi_shannon","total_b","total_a","total_h3","total_h1","total_specimens","total_flu","onset_days_from_Oct1","peak_days_from_Oct1","onset_timing_sd","peak_timing_sd","adult_18_49_vac_cov","adult_65_vac_cov","vac_combined","vac_cov_combined","weighted_VE","adult_18_49_vac_cov_prior","adult_65_vac_cov_prior","vac_combined_prior","vac_cov_combined_prior","weighted_VE_prior_season","pred","model","dataType","object","resid"
"1998-1999","Region 1",0.555715004796499,0.979470802919708,0.891056910569106,0.872764227642276,0.00528455284552846,0.108943089430894,83.7442508778468,0.409423491849838,10.1113862947263,1.96163033884761,17.2721385658715,0.340212388785896,1.89015209970608,"H3","H3",19,49,49,10.7666,52.9496160959744,0,0,1998-12-13,1999-01-31,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,67,548,536.75,3.25,2761,615,73,122,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,9.27547710713333,"Conditional
Random Forest","Training","party RF",7.99666145873812
"1998-1999","Region 1",0.555715004796499,0.979470802919708,0.891056910569106,0.872764227642276,0.00528455284552846,0.108943089430894,83.7442508778468,0.409423491849838,10.1113862947263,1.96163033884761,17.2721385658715,0.340212388785896,1.89015209970608,"H3","H3",19,49,49,10.7666,52.9496160959744,0,0,1998-12-13,1999-01-31,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,67,548,536.75,3.25,2761,615,73,122,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,8.67280246083718,"Lasso","Training","lasso",8.59933610503427
"1998-1999","Region 2",0.335482455709465,0.992028985507246,0.863039399624766,0.856160100062539,0,0.136960600375235,88.3261338641115,0,13.3482022301061,1.58604421971231,10.333129202692,0,1.35710269881752,"H3","H3",22,49,49,9.97791,66.9451685298396,0.130323436167675,0.237726594013735,1998-12-06,1999-01-24,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,219,1380,1369,0,11326,1599,66,115,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,9.18426654793607,"Conditional
Random Forest","Training","party RF",1.14886265475588
"1998-1999","Region 2",0.335482455709465,0.992028985507246,0.863039399624766,0.856160100062539,0,0.136960600375235,88.3261338641115,0,13.3482022301061,1.58604421971231,10.333129202692,0,1.35710269881752,"H3","H3",22,49,49,9.97791,66.9451685298396,0.130323436167675,0.237726594013735,1998-12-06,1999-01-24,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,219,1380,1369,0,11326,1599,66,115,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,8.5933755339267,"Lasso","Training","lasso",1.73975366876526
"1998-1999","Region 3",0.48889472894225,0.991605241605242,0.628086419753086,0.622813786008231,0.00218621399176955,0.371913580246914,36.5535973766676,0.0841686289478406,22.4020377084032,1.51181809206091,5.38060410598022,0.0684676053014596,3.65288719121593,"H3","H3",25,63,49,11.6737,43.7515577137475,0.0852822203862793,0.267168655069345,1998-12-20,1999-02-21,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,482,814,807.166666666667,2.83333333333333,12965,1296,80,143,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,9.13433593658437,"Conditional
Random Forest","Training","party RF",-3.75373183060415
"1998-1999","Region 3",0.48889472894225,0.991605241605242,0.628086419753086,0.622813786008231,0.00218621399176955,0.371913580246914,36.5535973766676,0.0841686289478406,22.4020377084032,1.51181809206091,5.38060410598022,0.0684676053014596,3.65288719121593,"H3","H3",25,63,49,11.6737,43.7515577137475,0.0852822203862793,0.267168655069345,1998-12-20,1999-02-21,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,482,814,807.166666666667,2.83333333333333,12965,1296,80,143,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,8.7866025363508,"Lasso","Training","lasso",-3.40599843037057
"1998-1999","Region 4",0.414355444231512,0.991725279271825,0.705281587394222,0.699445579223811,0,0.294718412605778,44.3342318159856,0,19.6736580005886,1.52244789594427,5.27752502085306,0,3.63609007342238,"H3","H3",25,49,49,10.6578,49.5358005369278,0,0.417780218891233,1998-12-13,1999-01-31,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,1010,2417,2397,0,17765,3427,73,122,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,9.04953059547013,"Conditional
Random Forest","Training","party RF",-3.77200557461707
"1998-1999","Region 4",0.414355444231512,0.991725279271825,0.705281587394222,0.699445579223811,0,0.294718412605778,44.3342318159856,0,19.6736580005886,1.52244789594427,5.27752502085306,0,3.63609007342238,"H3","H3",25,49,49,10.6578,49.5358005369278,0,0.417780218891233,1998-12-13,1999-01-31,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,1010,2417,2397,0,17765,3427,73,122,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,8.74496182100931,"Lasso","Training","lasso",-3.46743680015625
"1998-1999","Region 5",0.701048497098791,0.968155683613985,0.798188874514877,0.772771095459028,0.0236928976414465,0.201811125485123,61.4634903388422,1.70115307892911,14.5218879295397,1.79154796759792,11.3193729466221,0.618427970036132,2.27716791435805,"H3","H3",26,49,49,12.5851,56.0518014546502,0.170089198826158,0.239739129918489,1998-12-27,1999-02-14,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,468,1851,1792.05617036949,54.9438296305144,13153,2319,87,136,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,9.11946267588138,"Conditional
Random Forest","Training","party RF",2.19991027074067
"1998-1999","Region 5",0.701048497098791,0.968155683613985,0.798188874514877,0.772771095459028,0.0236928976414465,0.201811125485123,61.4634903388422,1.70115307892911,14.5218879295397,1.79154796759792,11.3193729466221,0.618427970036132,2.27716791435805,"H3","H3",26,49,49,12.5851,56.0518014546502,0.170089198826158,0.239739129918489,1998-12-27,1999-02-14,1998,1.57098,1.10936,1.94202,1.12538,0.9994,1.36082,6.96153846153846,8.25641025641026,0.628,0.31,1.14,7.024,2.794,0.79558,8.45,0.56,2.818,0.54486,0.329295582944927,0.224990731572313,1.63,0.28,2.126,11.524,3.014,0.38038,10.19,1.11,3.85,0.46598,0.114562670136324,0.097316565585038,1.49836,0.88984,0.419969635783951,0.273703440699326,468,1851,1792.05617036949,54.9438296305144,13153,2319,87,136,8.88506862350789,10.5646159944937,16.4,65.7,3.7011438,0.107748,34.35,15.5,63.3,-1.6973895,0.098115,-17.3,8.51190990678665,"Lasso","Training","lasso",2.8074630398354
